,Zone1,Zone2,Zone3,Zone4
63,0.5974235104669887,0.9742351046698873,0.04186795491143317,0.32367149758454106
64,0.7552334943639292,1.0,0.037037037037037035,0.4057971014492754
65,0.8792270531400966,0.9194847020933977,0.06763285024154589,0.46859903381642515
66,0.8470209339774557,0.7359098228663447,0.1288244766505636,0.605475040257649
67,0.7407407407407407,0.5668276972624798,0.2640901771336554,0.5990338164251208
68,0.5990338164251208,0.42673107890499196,0.3961352657004831,0.5249597423510467
69,0.4605475040257649,0.33011272141706927,0.4492753623188406,0.43478260869565216
70,0.3365539452495974,0.2431561996779388,0.43800322061191627,0.3526570048309179
71,0.2528180354267311,0.18518518518518517,0.41867954911433175,0.29307568438003223
72,0.19162640901771336,0.14009661835748793,0.3687600644122383,0.2286634460547504
73,0.14492753623188406,0.12721417069243157,0.31561996779388085,0.18518518518518517
74,0.11755233494363929,0.11755233494363929,0.249597423510467,0.14492753623188406
75,0.09339774557165861,0.12238325281803543,0.1996779388083736,0.11594202898550725
76,0.07568438003220612,0.1143317230273752,0.15780998389694043,0.09500805152979067
77,0.057971014492753624,0.10466988727858294,0.12721417069243157,0.07729468599033816
78,0.04508856682769726,0.09339774557165861,0.10466988727858294,0.06924315619967794
79,0.03864734299516908,0.0821256038647343,0.07729468599033816,0.061191626409017714
80,0.030595813204508857,0.06280193236714976,0.05636070853462158,0.05314009661835749
81,0.028985507246376812,0.04669887278582931,0.043478260869565216,0.04669887278582931
82,0.024154589371980676,0.03542673107890499,0.033816425120772944,0.037037037037037035
83,0.01610305958132045,0.027375201288244767,0.027375201288244767,0.028985507246376812
84,0.01610305958132045,0.02254428341384863,0.01932367149758454,0.020933977455716585
85,0.014492753623188406,0.01932367149758454,0.014492753623188406,0.01610305958132045
86,0.01288244766505636,0.014492753623188406,0.01288244766505636,0.014492753623188406
87,0.011272141706924315,0.011272141706924315,0.00966183574879227,0.011272141706924315
88,0.011272141706924315,0.008051529790660225,0.008051529790660225,0.008051529790660225
89,0.00966183574879227,0.00644122383252818,0.00644122383252818,0.00644122383252818
90,0.00966183574879227,0.00644122383252818,0.00644122383252818,0.00644122383252818
91,0.008051529790660225,0.00644122383252818,0.00644122383252818,0.004830917874396135
92,0.008051529790660225,0.004830917874396135,0.004830917874396135,0.00322061191626409
93,0.008051529790660225,0.008051529790660225,0.004830917874396135,0.00322061191626409
94,0.00966183574879227,0.008051529790660225,0.004830917874396135,0.00322061191626409
95,0.011272141706924315,0.00644122383252818,0.004830917874396135,0.004830917874396135
96,0.011272141706924315,0.00644122383252818,0.004830917874396135,0.00644122383252818
97,0.014492753623188406,0.00644122383252818,0.004830917874396135,0.004830917874396135
98,0.014492753623188406,0.00644122383252818,0.004830917874396135,0.004830917874396135
99,0.01288244766505636,0.004830917874396135,0.004830917874396135,0.004830917874396135
100,0.01288244766505636,0.00644122383252818,0.004830917874396135,0.004830917874396135
101,0.011272141706924315,0.00644122383252818,0.00644122383252818,0.00644122383252818
102,0.01288244766505636,0.00644122383252818,0.004830917874396135,0.00644122383252818
103,0.01288244766505636,0.00644122383252818,0.004830917874396135,0.00644122383252818
104,0.01288244766505636,0.00644122383252818,0.004830917874396135,0.004830917874396135
105,0.011272141706924315,0.004830917874396135,0.00322061191626409,0.00322061191626409
106,0.00644122383252818,0.00322061191626409,0.00322061191626409,0.00322061191626409
