,Catalog Number,Province/State,Centroid Latitude,Centroid Longitude,Date Collected,Estimated_Infection_Date
90,571018,North Carolina,35.43,-75.48,1987-06-03,1987-05-12
91,571019,North Carolina,35.225,-75.6217,1987-06-08,1987-05-18
92,571020,Virginia,38.08,-75.2,1987-06-27,1987-05-28
93,571022,Maryland,36.92,-75.93,1987-07-07,1987-06-14
94,571023,Virginia,37.03,-76.3,1987-07-08,1987-06-18
95,571024,Virginia,37.4292,-76.2511,1987-07-06,1987-06-11
96,571025,Maryland,38.08,-75.2,1987-07-08,1987-06-20
97,571026,Virginia,37.43,-76.25,1987-07-12,1987-06-18
98,571027,Maryland,38.3725,-75.0683,1987-07-17,1987-06-10
99,571028,Maryland,,,1987-08-02,1987-07-12
100,571029,Virginia,37.0058,-76.3489,1987-08-04,1987-07-07
101,571030,Virginia,37.0022,-76.0275,1987-08-05,1987-06-27
102,571031,Virginia,36.8931,-75.9875,1987-08-04,1987-07-17
103,571032,Virginia,36.8572,-75.9947,1987-08-05,1987-07-12
104,571035,Virginia,36.93,-76.03,1987-08-14,1987-07-20
105,571036,Virginia,36.9153,-76.9928,1987-08-12,1987-07-16
106,571037,Virginia,36.915,-75.9928,1987-08-14,1987-07-23
107,571038,Virginia,36.915,-75.9928,1987-08-14,1987-07-12
108,571039,Virginia,36.93,-76.03,1987-08-14,1987-07-26
109,571040,Virginia,36.9283,-76.0061,1987-08-14,1987-07-24
110,571041,Virginia,36.93,-76.0417,1987-08-15,1987-07-29
111,571042,Virginia,36.9067,-76.0886,1987-08-15,1987-07-30
112,571043,Virginia,36.9,-75.9889,1987-08-15,1987-07-24
113,571044,Virginia,36.9469,-76.2389,1987-08-15,1987-07-25
114,571045,Virginia,36.92,-76.17,1987-08-21,1987-08-01
115,571046,Virginia,36.9247,-76.0467,1987-08-21,1987-08-04
116,571047,Virginia,37.0,-76.3,1987-09-14,1987-08-25
117,571048,Virginia,36.7025,-75.9275,1987-09-25,1987-09-05
118,571049,Virginia,36.8983,-75.9886,1987-09-25,1987-09-06
119,571050,Virginia,36.92,-76.17,1987-09-27,1987-09-08
120,571051,Virginia,36.92,-76.18,1987-09-29,1987-09-02
121,571052,Virginia,37.3425,-76.005,1987-10-17,1987-09-19
122,571053,Virginia,37.0,-76.23,1987-10-18,1987-09-27
123,571054,Virginia,36.92,-76.05,1987-08-11,1987-07-26
124,571055,Virginia,36.93,-76.03,1987-08-12,1987-07-14
125,571056,Virginia,36.9122,-76.0833,1987-08-11,1987-07-16
126,571057,Virginia,36.8411,-75.9728,1987-08-20,1987-07-26
127,571058,Virginia,37.9575,-75.2969,1987-07-23,1987-07-03
128,571059,Virginia,36.8767,-75.9825,1987-08-31,1987-08-05
129,571060,Virginia,36.7119,-75.9303,1987-09-14,1987-08-26
130,571061,Maryland,,,1987-09-19,1987-08-28
