dolphin_id,sight_date,lat,lon
25,11/19/97,34.614000,-76.536170
25,1/4/98,34.634670,-76.550500
25,2/11/99,34.673470,-76.629920
25,12/21/99,34.625830,-76.542730
25,12/21/99,34.677000,-76.649170
25,3/3/04,34.667670,-76.605330
25,3/18/04,34.678830,-76.662830
25,3/25/04,34.622670,-76.544670
25,2/2/06,34.673470,-76.629920
25,2/8/06,34.692330,-76.694000
25,2/23/06,34.666330,-76.558830
25,3/31/06,34.673470,-76.629920
26,11/27/91,34.665330,-76.596330
26,1/23/94,34.619620,-76.563870
26,11/8/94,34.665330,-76.596330
26,11/10/94,34.625830,-76.542730
26,11/20/94,34.665330,-76.596330
26,12/12/94,34.625830,-76.542730
26,1/26/95,34.625830,-76.542730
26,7/30/95,34.665330,-76.596330
26,8/1/95,34.691670,-76.720000
26,12/14/96,34.665330,-76.596330
26,12/17/96,34.665330,-76.596330
26,1/12/97,34.680500,-76.655670
26,1/26/97,34.658830,-76.579330
26,12/11/97,34.681500,-76.660330
26,10/26/98,34.696670,-76.655000
26,10/29/98,34.673470,-76.629920
26,2/5/99,34.669500,-76.610830
26,2/26/99,34.663330,-76.590830
26,3/11/99,34.669670,-76.617330
26,1/29/01,34.691500,-76.685500
26,10/19/02,35.040670,-76.486480
26,3/24/03,34.673170,-76.623330
26,7/1/03,35.110810,-75.941040
26,11/24/03,34.674000,-76.629500
26,12/23/03,34.634830,-76.534000
26,3/3/04,34.667670,-76.605330
26,3/18/04,34.678830,-76.662830
26,12/16/04,34.676070,-76.669220
26,3/4/05,34.673470,-76.629920
26,3/25/05,34.670330,-76.621170
26,2/2/06,35.066430,-76.015300
26,3/30/06,34.666160,-76.598220
26,3/31/06,34.673470,-76.629920
26,12/6/06,34.652500,-76.564330
26,3/12/07,34.641170,-76.549830
26,3/9/10,34.672500,-76.627000
26,11/21/10,34.608000,-76.551500
26,7/27/13,35.362820,-76.310450
26,4/11/16,35.217390,-76.492800
27,10/2/93,34.619620,-76.563870
28,1/17/96,34.665330,-76.596330
28,2/7/96,34.673470,-76.629920
28,1/15/11,34.657330,-76.589670
29,8/22/98,35.035020,-76.496280
29,10/20/98,34.982860,-76.585480
29,3/25/03,35.150030,-75.855020
29,10/17/03,34.693170,-76.770350
29,9/27/06,35.046260,-76.641600
29,6/25/08,35.858730,-75.615230
29,7/1/08,35.827820,-75.598820
29,8/19/10,35.797490,-75.630440
29,8/23/10,36.057950,-75.782590
29,8/25/10,35.810190,-75.642720
29,9/12/12,35.915830,-75.637850
30,12/14/96,34.665330,-76.596330
30,6/21/04,35.197290,-75.718340
30,3/30/06,34.668160,-76.608220
30,12/2/12,34.678500,-76.653170
30,8/31/13,36.937050,-76.036983
30,7/23/14,36.913333,-75.987567
31,12/17/96,34.665330,-76.596330
31,1/20/99,34.685830,-76.672830
31,2/11/99,34.673470,-76.629920
31,2/26/99,34.663330,-76.590830
31,11/30/12,34.658170,-76.667670
32,2/1/94,34.673470,-76.629920
32,11/5/94,34.653120,-76.572430
32,12/6/94,34.653120,-76.572430
32,3/20/95,34.653120,-76.572430
32,12/13/95,34.653120,-76.572430
32,2/22/96,34.665330,-76.596330
32,12/14/96,34.665330,-76.596330
32,12/17/96,34.665330,-76.596330
32,1/26/97,34.658830,-76.579330
32,2/7/97,34.635500,-76.521600
32,11/19/97,34.614000,-76.536170
32,1/4/98,34.634670,-76.550500
32,1/25/99,34.685830,-76.673000
32,2/11/99,34.673470,-76.629920
32,2/26/99,34.663330,-76.590830
32,1/29/01,34.691500,-76.685500
32,3/18/04,34.678830,-76.662830
32,12/16/04,34.676070,-76.669220
32,2/2/06,34.673470,-76.629920
32,2/23/06,34.666330,-76.558830
32,3/30/06,34.673170,-76.635000
33,2/14/87,34.653120,-76.572430
33,2/1/94,34.673470,-76.629920
33,10/22/94,34.653120,-76.572430
33,12/6/94,34.653120,-76.572430
33,11/3/95,34.628130,-76.555480
33,12/13/95,34.653120,-76.572430
33,1/26/96,34.673470,-76.629920
33,2/7/96,34.673470,-76.629920
33,2/22/96,34.665330,-76.596330
33,12/14/96,34.665330,-76.596330
33,12/17/96,34.665330,-76.596330
33,3/4/98,34.673470,-76.629920
33,9/5/98,35.008000,-76.505700
33,9/25/98,34.951760,-76.869660
33,2/11/99,34.673470,-76.629920
33,2/26/99,34.663330,-76.590830
33,3/11/99,34.669670,-76.617330
33,7/21/00,35.467340,-75.538910
33,11/24/03,34.674000,-76.629500
33,12/23/03,34.634830,-76.534000
33,3/3/04,34.667670,-76.605330
33,3/25/04,34.622670,-76.544670
34,2/25/96,34.673470,-76.629920
35,12/27/95,34.665330,-76.596330
36,12/27/96,34.663000,-76.593170
36,9/5/98,35.008000,-76.505700
37,12/14/96,34.665330,-76.596330
37,2/7/97,34.635500,-76.521600
37,11/12/98,34.662000,-76.586670
37,1/20/99,34.685830,-76.672830
38,1/26/96,34.691220,-76.687220
39,12/13/95,34.673470,-76.629920
39,11/2/98,34.770270,-76.685820
40,1/22/96,34.653120,-76.572430
41,12/18/93,34.673470,-76.629920
41,11/5/94,34.653120,-76.572430
41,12/6/94,34.653120,-76.572430
41,3/16/95,34.665330,-76.596330
41,3/20/95,34.653120,-76.572430
41,1/22/96,34.653120,-76.572430
41,12/14/96,34.665330,-76.596330
41,12/17/96,34.665330,-76.596330
41,2/7/97,34.635500,-76.521600
41,1/4/98,34.634670,-76.550500
41,1/20/99,34.685830,-76.672830
41,2/11/99,34.673470,-76.629920
41,2/26/99,34.663330,-76.590830
41,3/16/99,34.676500,-76.648170
41,3/23/99,34.674670,-76.634830
41,1/29/01,34.691500,-76.685500
41,2/14/01,34.676000,-76.669170
41,12/16/04,34.676070,-76.669220
41,2/2/06,34.673470,-76.629920
41,2/8/06,34.692330,-76.694000
42,12/22/96,34.665330,-76.596330
42,3/20/97,34.652830,-76.562830
42,1/4/98,34.634670,-76.550500
43,2/26/98,34.656500,-76.572000
44,12/18/97,34.664330,-76.603000
44,2/11/99,34.672170,-76.669220
44,3/23/04,34.589330,-76.539670
44,12/22/04,34.641830,-76.548170
44,1/15/11,34.657330,-76.589670
45,1/22/96,34.653120,-76.572430
45,2/22/96,34.595870,-76.540300
45,10/22/96,34.625830,-76.542730
45,2/7/97,34.635500,-76.521600
45,1/4/98,34.634670,-76.550500
45,2/26/99,34.663330,-76.590830
46,12/17/96,34.665330,-76.596330
46,12/22/96,34.665330,-76.596330
46,12/30/96,34.674500,-76.629830
46,10/20/05,34.688330,-76.564500
47,5/5/97,34.693000,-76.700000
47,5/30/97,34.696500,-76.709330
47,6/4/97,34.657670,-76.571000
47,10/6/03,34.676070,-76.669220
48,12/27/95,34.665330,-76.596330
48,12/14/96,34.665330,-76.596330
48,2/11/99,34.673470,-76.629920
