,Model,Zone1,Zone2,Zone3,Zone4,Total
20,Start Sep Patch 3,1.5321129055101275,1.8318390793282422,2.0557822987287375,1.8450322760270372,7.264766559594145
21,Start Sep Patch 3,1.5433261402795353,1.8468563708679713,2.1955035346234246,1.9586923061660175,7.544378351936949
22,Start Sep Patch 3,1.547727595849752,1.8545774225721967,2.1407999293133577,1.4063437536030523,6.949448701338359
23,Start Sep Patch 3,1.4793095749213645,1.8492055226297621,2.0156689497815945,1.6463996493308724,6.9905836966635935
24,Start Sep Patch 3,1.5548861845001496,1.8459955055217976,2.1316500300888026,1.683457375035667,7.215989095146417
25,Start Sep Patch 3,1.8061939595231342,2.055505878518683,1.819380683971245,1.5952460292631003,7.276326551276162
26,Start Sep Patch 3,1.5051893791911304,1.861883725716347,2.134259648764271,1.8005227688277419,7.3018555224994905
27,Start Sep Patch 3,2.1231964653643556,2.2670471134197268,1.513192639238586,2.0458006721566897,7.949236890179357
28,Start Sep Patch 3,1.5420117988042077,1.8387337529917016,2.0863056391295767,1.5808840008243472,7.047935191749834
29,Start Sep Patch 3,2.2065155815949313,2.1224836115358183,0.5938888512279361,1.404033267128938,6.326921311487624
30,Start Sep Patch 3,1.802007673781612,2.0306817642772197,2.1468548218766004,1.320734558794249,7.300278818729681
31,Start Sep Patch 3,2.234054085845999,2.2755733020362494,1.7773910437029607,2.0012922177088988,8.28831064929411
32,Start Sep Patch 3,2.1012950685311895,2.0572017148821966,2.4058604750587174,0.765839538803281,7.330196797275384
33,Start Sep Patch 3,1.5029081238301594,1.8559724373425133,2.345087183687451,2.1300694928512622,7.834037237711387
34,Start Sep Patch 3,1.472487322689284,1.8534290142649965,2.092613801444537,1.5463521887524456,6.964882327151264
35,Start Sep Patch 3,1.4809809779973968,1.854056522592507,2.2408188990037585,1.9826829547358094,7.558539354329471
36,Start Sep Patch 3,1.5318081603632854,1.8377148066437567,2.089058995177519,1.6355009312944904,7.094082893479053
37,Start Sep Patch 3,1.604563459904934,1.8419209322786048,2.2328507187809716,1.7787149800941922,7.458050091058703
38,Start Sep Patch 3,1.4996862559623014,1.8398642189871923,2.065673840878416,1.6192749590687416,7.024499274896652
39,Start Sep Patch 3,1.8608122630523893,2.0273616149987075,1.8354224002256243,1.4655906360890525,7.189186914365774
40,Start Sep Patch 3,1.5945853132215837,1.8327994916352706,2.1352913965253757,1.759472376926212,7.3221485783084415
41,Start Sep Patch 3,1.624203525626414,1.8462721074954866,2.1027928480248943,1.7845751350694925,7.357843616216288
42,Start Sep Patch 3,1.9400366992530929,2.038058387434063,1.9061150200022756,1.9816768554937736,7.865886962183206
43,Start Sep Patch 3,1.5752085550772623,1.8723864439076694,2.111636445054897,1.8125195131241465,7.371750957163975
44,Start Sep Patch 3,1.5711584992900998,1.8496646884102073,2.187517028872859,1.759308401781493,7.36764861835466
45,Start Sep Patch 3,1.6133371990432226,1.8669024901333071,2.2559423799193534,1.8472648930425388,7.583446962138422
46,Start Sep Patch 3,1.4852296229275566,1.8609307824453976,2.2221580162929335,1.5274748488311582,7.095793270497046
47,Start Sep Patch 3,1.6074101638012959,1.8561871726026946,2.204786804304443,1.8650087765358052,7.533392917244238
48,Start Sep Patch 3,2.2455488006661724,2.2639383971353144,1.5055476183279735,1.6341263561879826,7.649161172317443
49,Start Sep Patch 3,1.4896129119277737,1.840396760825479,2.028406197663184,1.72648340550813,7.084899275924567
50,Start Sep Patch 3,1.4660783373600175,1.8411974869352141,2.196467455928055,1.7104067468067623,7.2141500270300485
51,Start Sep Patch 3,1.5745696085115,1.9204754582611872,2.242598788796761,1.8907700441593722,7.6284138997288204
52,Start Sep Patch 3,1.4748848611188983,1.8502808948697334,2.0520944512608277,1.4256462492641893,6.802906456513649
53,Start Sep Patch 3,1.5063627721540793,1.8722412108208486,2.1362869428502846,1.5681047297386765,7.08299565556389
54,Start Sep Patch 3,1.5613349027866095,1.8362524673270593,2.107709531236399,1.6196867566316524,7.12498365798172
55,Start Sep Patch 3,1.5525485892750246,1.923814514750158,2.177952836960345,2.025645835894374,7.679961776879901
56,Start Sep Patch 3,1.543962856073186,1.8504605378466465,1.9938693934910061,1.6609423095726412,7.04923509698348
57,Start Sep Patch 3,2.170810755394855,2.3418755177034134,1.915382894751316,2.2112994961420376,8.639368663991622
58,Start Sep Patch 3,1.548452002347666,1.8501374038382794,2.1358571990244077,2.0221615142303477,7.5566081194407015
59,Start Model Patch 2,1.53798241721357,0.7937559345196439,0.43600398687367925,0.6061984750692299,3.3739408136761226
60,Start Model Patch 2,1.3564270487102454,0.7609117262104406,0.461283733452057,0.4853154945001651,3.0639380028729084
61,Start Model Patch 2,1.0823843633537198,0.8853698872511068,0.4434468898153185,0.46376099536377147,2.8749621357839166
62,Start Model Patch 2,1.1433031026153184,0.6905271847552905,0.42434728890126705,0.48532088180377136,2.7434984580756474
63,Start Model Patch 2,1.0847545740648674,1.0008943346621733,0.4408723041679277,0.45167423632650266,2.978195449221471
64,Start Model Patch 2,0.9493603271944739,1.2263309890679053,0.4474227669335122,0.48436065444010906,3.1074747376360006
65,Start Model Patch 2,1.3751955786758059,0.7060642510704123,0.4366294481359253,0.6692014261951471,3.1870907040772902
66,Start Model Patch 2,2.0572322644349996,2.1388989288820826,1.6838671580763427,2.033475124857282,7.913473476250707
67,Start Model Patch 2,1.0799760650137356,0.8756724710352766,0.47885387819404707,0.5094486717530906,2.94395108599615
68,Start Model Patch 2,1.9204054368148151,0.764893293283677,0.43622094901446756,0.616703282207406,3.738222961320366
69,Start Model Patch 2,1.085371609124575,0.7907822169903539,0.4792021105525046,0.5161883949222692,2.871544331589703
70,Start Model Patch 2,0.7814061461737667,1.0176414159860414,0.4570017971060317,0.5054448149772944,2.761494174243134
71,Start Model Patch 2,1.3656308735006821,0.7944748435931793,0.45416297821870555,0.505856703968512,3.1201253992810787
72,Start Model Patch 2,0.9221507401956228,1.279809379721137,0.4485829497002697,0.44180939945456393,3.092352469071593
73,Start Model Patch 2,0.9521868284106596,0.9415601907524874,0.4689672698964115,0.4441662455212802,2.8068805345808387
74,Start Model Patch 2,2.1665924330302,1.8730271768622,0.42594609009672585,0.9641737904127501,5.429739490401876
75,Start Model Patch 2,1.6688093024003847,0.789119578694895,0.47442774281712347,0.5123281309372861,3.444684754849689
76,Start Model Patch 2,1.2470022615555738,0.7563736936505148,0.44445170827064256,0.5157699814934796,2.9635976449702106
77,Start Model Patch 2,0.95397534031719,0.90302232217371,0.4444466848811628,0.4652041991014016,2.7666485464734643
78,Start Model Patch 2,1.0758381357928972,0.6885205854642164,0.43216155947602247,0.4762412480718688,2.672761528805005
79,Start Model Patch 2,1.65140857703625,1.0867864556481563,0.4498455905240431,0.5373553340382894,3.725395957246739
80,Start Model Patch 2,1.088164031033703,0.8733608807086245,0.4593023875578711,0.4829253940274528,2.9037526933276516
81,Start Model Patch 2,1.3079574474922582,0.8446674130897414,0.4327726796500277,0.5971545001278291,3.1825520403598566
82,Start Model Patch 2,1.4187931039573858,0.7522424644063738,0.4336035892834509,0.6069613744827622,3.2116005321299728
83,Start Model Patch 2,0.9864148551650086,0.9096773969017753,0.4448968997145974,0.5006716532485841,2.8416608050299654
84,Start Model Patch 2,1.5714045902191296,0.9074348549921138,0.45630172927695145,0.5389507891783561,3.4740919636665515
85,Start Model Patch 2,1.476012204584124,2.1161228045977856,2.274291635704914,1.9098192577843545,7.776245902671178
86,Start Model Patch 2,1.1233103496290824,1.13716036777985,0.46434472874113464,0.45373732085790824,3.178552767007975
87,Start Model Patch 2,1.735829627541039,0.7510457741334297,0.45001158454766527,0.6859293780450394,3.6228163642671736
