,Follow_ID,Dolphin_ID,Demo,Demo_Confidence,Degree,AM_deg,AF_deg,AFNN_deg,AFNNN_deg,JX_deg,low_AM_deg,low_AF_deg,low_JX_deg,Follow_length,Date,Number_Syncs,Group_Size,Year
77,F000086,T00118,AM,High,5,4,0,0,0,1,4,0,1,30,2022-07-23,14.0,9,2022
78,F000087,T00124,AX,Low,2,1,1,0,0,0,0,1,0,14,2022-07-20,3.0,20,2022
79,F000088,T00127,AM,High,1,0,1,0,0,0,0,1,0,15,2022-07-16,2.0,12,2022
80,F000089,PC00172,AF,High,2,2,0,0,0,0,0,0,0,15,2022-07-16,4.0,12,2022
81,F000090,T00130,AM,High,6,2,4,0,0,0,1,4,0,15,2022-07-11,6.0,50,2022
82,F000091,T00137,AFNNN,High,0,0,0,0,0,0,0,0,0,15,2022-06-21,0.0,60,2022
83,F000092,PC00196,AM,High,3,2,1,0,0,0,1,1,0,18,2022-06-21,4.0,60,2022
84,F000093,T00036,AM,High,3,3,0,0,0,0,2,0,0,15,2022-06-30,9.0,20,2022
85,F000094,T00144,AX,Low,1,0,0,0,0,1,0,0,1,15,2022-06-24,1.0,10,2022
86,F000095,PC00296,AM,High,1,1,0,0,0,0,0,0,0,15,2022-07-04,2.0,40,2022
87,F000096,PC01272,AFNN,High,3,0,0,2,1,0,0,0,0,20,2022-06-29,7.0,8,2022
88,F000097,T00152,AFNNN,High,2,0,1,0,0,1,0,0,1,15,2022-07-08,6.0,40,2022
89,F000098,T00156,JX,Low,2,0,0,0,0,2,0,0,2,15,2022-06-29,8.0,25,2022
90,F000099,T00159,JX,Low,3,0,2,0,0,1,0,2,1,15,2022-07-11,4.0,80,2022
91,F000100,T00163,JX,Low,4,2,0,0,0,2,2,0,2,30,2022-06-26,19.0,8,2022
92,F000101,PC01762,AM,High,4,4,0,0,0,0,0,0,0,15,2022-07-11,4.0,50,2022
93,F000102,PC00706,AFNN,High,1,1,0,0,0,0,0,0,0,15,2022-06-21,4.0,65,2022
94,F000103,T00173,AFNNN,High,2,0,1,0,0,1,0,1,1,16,2022-06-25,2.0,15,2022
95,F000104,T00177,AFNN,High,3,0,0,0,2,1,0,0,1,15,2022-06-25,10.0,40,2022
96,F000105,T00150,AFNNN,High,2,0,2,0,0,0,0,1,0,15,2022-07-20,4.0,20,2022
97,F000106,T00184,AFNNN,High,1,0,0,0,0,1,0,0,1,15,2022-07-29,2.0,45,2022
98,F000107,T00187,JX,Low,3,0,0,0,2,1,0,0,1,20,2022-08-10,12.0,8,2022
99,F000108,PC00221,AF,High,2,2,0,0,0,0,0,0,0,14,2022-09-18,4.0,11,2022
100,F000109,PC00451,AM,High,2,1,1,0,0,0,0,1,0,16,2022-09-18,6.0,11,2022
