,Patch,National Database Number,State,Latitude,Longitude,Observation Date,Estimated_Infection_Date,Sex,Age Class
796,Full,SE-2010-1116267,GA,31.97338,Ð80.87328,2010-06-12,2010-05-20,UNKNOWN,PUP/CALF
843,Full,SE-2010-1118641,NC,35.00486,Ð76.7142,2010-07-11,2010-06-14,MALE,SUBADULT
871,Full,SE-2010-1115137,GA,30.7391,Ð81.45645,2010-05-06,2010-04-02,UNKNOWN,UNKNOWN
876,Full,SE-2010-1116615,NC,35.01767,Ð76.10434,2010-06-15,2010-05-28,MALE,ADULT
879,Full,SE-2010-1116614,NC,34.48229,Ð77.44064,2010-06-16,2010-05-23,FEMALE,SUBADULT
880,Full,SE-2010-1115140,NC,36.51519,Ð75.86119,2010-05-16,2010-04-17,MALE,PUP/CALF
886,Full,SE-2010-1115099,NC,35.07035,Ð76.01279,2010-04-28,2010-03-30,UNKNOWN,PUP/CALF
887,Full,SE-2010-1115102,NC,35.8371,Ð75.55927,2010-05-16,2010-04-14,UNKNOWN,PUP/CALF
894,Full,SE-2010-1115438,SC,32.85088,Ð79.94652,2010-05-27,2010-04-18,MALE,PUP/CALF
898,Full,SE-2010-1115057,SC,33.4322,Ð79.11939,2010-03-28,2010-03-03,FEMALE,ADULT
899,Full,SE-2010-1115100,NC,35.76486,Ð75.53224,2010-04-30,2010-04-04,MALE,PUP/CALF
903,Full,SE-2010-1115098,NC,35.457254,Ð76.605683,2010-05-08,2010-04-13,MALE,ADULT
904,Full,SE-2010-1115116,NC,35.18185,Ð75.77464,2010-05-09,2010-04-11,UNKNOWN,PUP/CALF
908,Full,NE-2010-1115037,MD,38.24305,Ð75.137222,2010-05-13,2010-04-20,MALE,PUP/CALF
909,Full,SE-2010-1115103,NC,35.45867,Ð75.48239,2010-05-17,2010-04-18,MALE,PUP/CALF
914,Full,SE-2010-1117294,NC,34.668099,Ð76.524987,2010-06-23,2010-06-03,FEMALE,SUBADULT
917,Full,NE-2010-1115820,NY,40.6771,Ð73.021,2010-04-10,2010-03-17,FEMALE,ADULT
927,Full,SE-2010-1115465,NC,35.86165,Ð75.57029,2010-05-29,2010-04-30,MALE,ADULT
939,Full,SE-2010-1118214,GA,30.94982,Ð81.40201,2010-06-29,2010-06-11,MALE,SUBADULT
940,Full,SE-2010-1118281,NC,36.1362,Ð76.33551,2010-06-28,2010-05-30,FEMALE,ADULT
944,Full,SE-2010-1115852,SC,32.75399,Ð80.01115,2010-06-02,2010-05-04,FEMALE,
952,Full,NE-2010-1115036,MD,38.337547,Ð75.086997,2010-05-12,2010-04-13,UNKNOWN,PUP/CALF
959,Full,SE-2010-1116177,SC,32.37528,Ð80.49262,2010-06-12,2010-05-13,FEMALE,PUP/CALF
968,Full,SE-2010-1116072,SC,32.785,Ð80.1063,2010-06-06,2010-05-13,FEMALE,PUP/CALF
995,Full,SE-2010-1116257,SC,32.5597,Ð80.16903,2010-06-09,2010-05-17,MALE,ADULT
999,Full,NE-2010-1119683,DE,38.458333,Ð75.079167,2010-03-23,2010-02-22,UNKNOWN,ADULT
1007,Full,NE-2010-1119964,VA,36.946365,Ð76.115847,2010-05-15,2010-04-17,FEMALE,UNKNOWN
1008,Full,SE-2010-1119577,NC,35.80358,Ð75.54333,2010-07-23,2010-07-03,MALE,
1017,Full,NE-2010-1119685,DE,38.78,Ð75.12,2010-06-10,2010-05-23,FEMALE,PUP/CALF
1018,Full,NE-2010-1119688,DE,38.6,Ð75.12,2010-07-26,2010-07-09,UNKNOWN,SUBADULT
1032,Full,SE-2010-1118863,GA,32.02287,Ð80.86055,2010-07-08,2010-06-03,FEMALE,UNKNOWN
1033,Full,NE-2010-1120233,VA,36.9562,Ð76.3593,2010-05-24,2010-04-30,MALE,UNKNOWN
1035,Full,SE-2010-1118842,SC,32.902477,Ð79.675401,2010-06-28,2010-06-07,MALE,PUP/CALF
1036,Full,SE-2010-1118843,SC,32.65657,Ð79.99354,2010-07-03,2010-05-29,FEMALE,SUBADULT
1041,Full,SE-2010-1119821,SC,32.12769,Ð80.83886,2010-07-27,2010-07-04,MALE,ADULT
1043,Full,SE-2010-1119824,NC,36.07471,Ð75.80277,2010-07-30,2010-07-07,UNKNOWN,ADULT
1050,Full,SE-2010-1119826,NC,35.192,Ð75.7386,2010-07-31,2010-07-06,MALE,PUP/CALF
1052,Full,SE-2010-1119951,GA,31.32371,Ð81.28905,2010-05-22,2010-04-24,MALE,UNKNOWN
1054,Full,SE-2010-1118870,GA,32.017886,Ð80.939649,2010-07-08,2010-06-12,FEMALE,SUBADULT
1057,Full,NE-2010-1119968,VA,36.9156,Ð75.99163,2010-05-17,2010-04-26,MALE,UNKNOWN
1062,Full,NE-2010-1120482,VA,37.7374,Ð75.82722,2010-06-14,2010-05-10,UNKNOWN,UNKNOWN
1067,Full,NE-2010-1118869,MD,38.143831,Ð75.174258,2010-07-09,2010-06-20,MALE,
1069,Full,NE-2010-1120484,VA,37.685017,Ð76.33705,2010-06-16,2010-05-09,MALE,UNKNOWN
1074,Full,NE-2010-1120062,VA,37.129836,Ð75.981206,2010-05-20,2010-04-26,MALE,UNKNOWN
1075,Full,NE-2010-1120063,VA,37.16139,Ð75.98003,2010-05-21,2010-04-21,MALE,UNKNOWN
1082,Full,NE-2010-1119471,VA,37.18798,Ð75.99822,2010-05-02,2010-03-28,MALE,UNKNOWN
1083,Full,NE-2010-1119476,VA,37.398222,Ð75.699583,2010-05-06,2010-04-07,UNKNOWN,UNKNOWN
1088,Full,SE-2010-1120619,GA,31.93536,Ð80.96864,2010-08-13,2010-07-23,FEMALE,PUP/CALF
1092,Full,NE-2010-1120286,VA,36.5853,Ð75.8751,2010-05-25,2010-04-18,FEMALE,UNKNOWN
1133,Full,NE-2010-1120231,VA,36.7613,Ð75.9496,2010-05-21,2010-04-27,MALE,UNKNOWN
1135,Full,SE-2010-1120358,SC,32.223237,Ð80.772271,2010-08-09,2010-07-14,FEMALE,PUP/CALF
1137,Full,NE-2010-1120479,VA,37.44932,Ð75.97298,2010-05-27,2010-05-01,MALE,
1138,Full,NE-2010-1120480,VA,37.01421,Ð76.29889,2010-05-30,2010-04-24,MALE,UNKNOWN
1139,Full,NE-2010-1120481,VA,36.95175,Ð76.24546,2010-06-11,2010-05-08,FEMALE,UNKNOWN
1143,Full,NE-2010-1120466,VA,37.99544,Ð75.26792,2010-05-25,2010-04-29,FEMALE,UNKNOWN
1144,Full,NE-2010-1120467,VA,36.931378,Ð76.03723,2010-05-23,2010-04-21,UNKNOWN,UNKNOWN
1147,Full,NE-2010-1120468,VA,37.89264,Ð75.33974,2010-05-25,2010-04-27,MALE,UNKNOWN
1148,Full,NE-2010-1120469,VA,37.59185,Ð76.43104,2010-05-26,2010-04-17,MALE,UNKNOWN
1164,Full,SE-2010-1119825,NC,36.23645,Ð75.77524,2010-07-31,2010-07-03,MALE,PUP/CALF
1167,Full,NE-2010-1119502,VA,37.4138,Ð75.6892,2010-05-06,2010-04-06,UNKNOWN,UNKNOWN
1171,Full,SE-2010-1119062,SC,33.816122,Ð78.67579,2010-07-11,2010-06-21,MALE,SUBADULT
1177,Full,NE-2010-1119474,VA,37.14452,Ð75.86962,2010-05-07,2010-04-07,UNKNOWN,UNKNOWN
1189,Full,SE-2010-1119911,GA,31.8753,Ð80.97471,2010-07-09,2010-06-22,FEMALE,PUP/CALF
1190,Full,SE-2010-1119928,GA,31.57373,Ð81.36308,2010-07-08,2010-06-12,MALE,UNKNOWN
1195,Full,NE-2010-1119961,DE,38.6836,Ð75.1184,2010-08-03,2010-07-09,MALE,ADULT
1204,Full,NE-2010-1119981,VA,37.09335,Ð76.273817,2010-05-19,2010-04-17,FEMALE,UNKNOWN
1208,Full,SE-2010-1119828,NC,34.91726,Ð76.76505,2010-08-02,2010-07-15,FEMALE,ADULT
1221,Full,NE-2010-1119503,VA,37.4511,Ð75.6573,2010-05-06,2010-04-16,UNKNOWN,UNKNOWN
1223,Full,NE-2010-1119966,VA,37.12429,Ð75.88999,2010-05-16,2010-04-19,UNKNOWN,UNKNOWN
1228,Full,NE-2010-1119504,VA,37.0893,Ð75.97803,2010-05-08,2010-04-07,UNKNOWN,UNKNOWN
1229,Full,NE-2010-1119505,VA,37.38239,Ð75.71033,2010-05-14,2010-04-19,MALE,UNKNOWN
1241,Full,NE-2010-1119690,DE,38.79,Ð75.18,2010-07-02,2010-06-04,UNKNOWN,ADULT
1254,Full,NE-2010-1120061,VA,36.92658,Ð76.16281,2010-05-19,2010-05-01,MALE,UNKNOWN
1259,Full,SE-2010-1119400,NC,34.63274,Ð76.53668,2010-07-19,2010-06-28,MALE,ADULT
1276,Full,NE-2010-1119686,DE,39.19,Ð75.4,2010-06-18,2010-05-11,MALE,ADULT
1283,Full,NE-2010-1121941,VA,36.913583,Ð76.074017,2010-07-26,2010-07-01,FEMALE,UNKNOWN
1284,Full,NE-2010-1121942,VA,37.40568,Ð76.25024,2010-07-26,2010-06-25,UNKNOWN,UNKNOWN
1285,Full,NE-2010-1121943,VA,36.6534,Ð75.9019,2010-07-27,2010-06-30,MALE,UNKNOWN
1287,Full,NE-2010-1121957,VA,36.904407,Ð75.988557,2010-08-14,2010-07-18,MALE,UNKNOWN
1288,Full,NE-2010-1121958,VA,36.739133,Ð75.940667,2010-08-20,2010-07-25,UNKNOWN,UNKNOWN
1296,Full,NE-2010-1121959,VA,36.926406,Ð76.003124,2010-08-26,2010-07-23,MALE,UNKNOWN
1312,Full,SE-2010-1121236,SC,32.7611,Ð79.82786,2010-08-17,2010-07-25,FEMALE,YEARLING
1313,Full,SE-2010-1121240,SC,33.87518,Ð78.58246,2010-08-18,2010-07-24,MALE,SUBADULT
1323,Full,NE-2010-1121920,VA,38.009,Ð75.258,2010-06-26,2010-05-30,FEMALE,UNKNOWN
1324,Full,NE-2010-1121932,VA,37.100567,Ð76.65745,2010-07-12,2010-06-07,MALE,UNKNOWN
1330,Full,NE-2010-1121916,VA,37.65169,Ð76.34508,2010-06-17,2010-05-12,FEMALE,UNKNOWN
1331,Full,NE-2010-1121919,VA,36.58061,Ð75.87401,2010-06-26,2010-05-23,UNKNOWN,UNKNOWN
1332,Full,NE-2010-1121960,VA,37.28831,Ð76.0158,2010-08-29,2010-08-04,MALE,UNKNOWN
1339,Full,NE-2010-1121922,VA,36.8219,Ð75.9674,2010-07-01,2010-06-06,FEMALE,UNKNOWN
1353,Full,SE-2010-1121473,SC,32.60959,Ð80.15633,2010-08-28,2010-08-03,MALE,YEARLING
1358,Full,NE-2010-1121921,VA,37.6851,Ð76.3136,2010-06-20,2010-05-19,UNKNOWN,UNKNOWN
1364,Full,NE-2010-1121935,VA,37.040548,Ð76.487096,2010-07-22,2010-07-02,MALE,
1365,Full,NE-2010-1121936,VA,36.84153,Ð75.9712,2010-07-23,2010-06-26,MALE,UNKNOWN
1367,Full,NE-2010-1121938,VA,37.20921,Ð76.01344,2010-07-24,2010-07-04,FEMALE,UNKNOWN
1368,Full,SE-2010-1121940,SC,32.243384,Ð80.686344,2010-08-31,2010-08-04,FEMALE,PUP/CALF
1371,Full,SE-2010-1122087,SC,32.8035,Ð80.41489,2010-09-04,2010-08-06,MALE,ADULT
1372,Full,SE-2010-1122089,NC,35.17677,Ð75.79233,2010-08-22,2010-07-30,FEMALE,ADULT
1381,Full,SE-2010-1121195,SC,32.6897,Ð79.89635,2010-08-21,2010-08-07,MALE,SUBADULT
1410,Full,NE-2010-1123670,VA,36.9331,Ð76.1997,2010-09-06,2010-08-05,FEMALE,UNKNOWN
1412,Full,NE-2010-1123811,VA,36.905187,Ð75.984034,2010-09-06,2010-08-15,MALE,UNKNOWN
1413,Full,NE-2010-1123815,VA,36.92144,Ð76.13601,2010-09-11,2010-08-14,MALE,UNKNOWN
1414,Full,NE-2010-1123820,VA,37.08291,Ð75.96034,2010-09-17,2010-08-17,UNKNOWN,UNKNOWN
1422,Full,NE-2010-1122303,NJ,39.028846,Ð74.942283,2010-05-10,2010-04-14,UNKNOWN,YEARLING
1424,Full,NE-2010-1122313,NJ,40.434776,Ð73.993091,2010-06-27,2010-05-23,MALE,ADULT
1425,Full,NE-2010-1122314,NJ,39.035941,Ð74.76731,2010-06-25,2010-06-10,FEMALE,PUP/CALF
1434,Full,NE-2010-1122305,NJ,38.973562,Ð74.8244,2010-05-16,2010-04-20,MALE,PUP/CALF
1435,Full,NE-2010-1122306,NJ,38.99839,Ð74.789458,2010-05-06,2010-04-01,MALE,PUP/CALF
1436,Full,NE-2010-1122308,NJ,38.986935,Ð74.802456,2010-06-03,2010-05-10,UNKNOWN,PUP/CALF
1438,Full,NE-2010-1122315,NJ,39.159793,Ð74.685118,2010-07-07,2010-06-14,FEMALE,ADULT
1443,Full,NE-2010-1122309,NJ,39.233908,Ð75.170145,2010-06-04,2010-05-12,UNKNOWN,PUP/CALF
1444,Full,NE-2010-1122310,NJ,40.426769,Ð73.982905,2010-06-15,2010-05-17,MALE,ADULT
1451,Full,NE-2010-1122312,NJ,39.380263,Ð74.4128,2010-06-21,2010-05-21,UNKNOWN,PUP/CALF
1455,Full,SE-2010-1122225,NC,36.05896,Ð75.68481,2010-09-09,2010-08-19,MALE,PUP/CALF
1456,Full,SE-2010-1122376,SC,32.89316,Ð79.84683,2010-09-12,2010-08-09,MALE,ADULT
1465,Full,NE-2010-1122577,NJ,39.216688,Ð74.63958,2010-07-09,2010-06-20,FEMALE,SUBADULT
1478,Full,NE-2010-1123405,MD,38.282614,Ð75.115263,2010-07-06,2010-06-01,UNKNOWN,UNKNOWN
1479,Full,NE-2010-1123406,MD,38.185754,Ð75.158241,2010-08-24,2010-08-01,FEMALE,SUBADULT
1485,Full,NE-2010-1123813,VA,36.93633,Ð76.21254,2010-09-12,2010-08-11,MALE,UNKNOWN
1486,Full,NE-2010-1123823,VA,37.08305,Ð75.9642,2010-09-17,2010-08-11,UNKNOWN,UNKNOWN
1492,Full,SE-2010-1123667,NC,33.91081,Ð78.29513,2010-10-09,2010-09-20,MALE,SUBADULT
1520,Full,SE-2010-1122487,SC,33.29762,Ð79.17024,2010-09-10,2010-08-14,MALE,PUP/CALF
1532,Full,NE-2010-1123357,VA,37.99544,Ð75.26792,2010-05-25,2010-04-30,UNKNOWN,UNKNOWN
1533,Full,SE-2010-1126018,NC,36.45242,Ð75.84431,2010-12-12,2010-11-25,FEMALE,ADULT
1535,Full,SE-2010-1125824,NC,35.30093,Ð75.51452,2010-12-06,2010-11-14,MALE,ADULT
1536,Full,SE-2010-1124756,NC,34.61445,Ð76.52528,2010-10-30,2010-10-10,MALE,PUP/CALF
1537,Full,SE-2010-1125959,SC,33.41603,Ð79.13049,2010-11-27,2010-11-01,MALE,ADULT
1548,Full,NE-2010-1125176,DE,38.9,Ð75.3,2010-06-18,2010-05-21,MALE,PUP/CALF
1549,Full,SE-2010-1125054,SC,33.785622,Ð78.742508,2010-10-23,2010-09-27,MALE,YEARLING
1552,Full,SE-2010-1124012,NC,35.23195,Ð75.55315,2010-10-12,2010-09-26,FEMALE,YEARLING
1557,Full,NE-2010-1125114,VA,36.55569,Ð75.86898,2010-10-30,2010-10-01,FEMALE,UNKNOWN
1575,Full,SE-2010-1125555,NC,36.4163,Ð75.83885,2010-11-29,2010-11-01,MALE,ADULT
1580,Full,SE-2010-1125233,NC,34.62128,Ð77.17033,2010-11-21,2010-11-05,FEMALE,
1594,Full,SE-2010-1125681,NC,34.64897,Ð76.347606,2010-12-02,2010-11-08,MALE,SUBADULT
1605,Full,SE-2010-1125474,NC,34.62378,Ð76.55151,2010-11-25,2010-10-31,FEMALE,
1610,Full,NE-2010-1124471,VA,37.10625,Ð75.97589,2010-10-21,2010-09-26,MALE,UNKNOWN
1615,Full,SE-2010-1125560,NC,34.82986,Ð76.3476,2010-11-25,2010-11-01,MALE,ADULT
1619,Full,SE-2010-1125898,NC,35.86829,Ð75.57364,2010-12-08,2010-11-14,MALE,ADULT
1643,Full,SE-2010-1125961,SC,32.33887,Ð80.45576,2010-11-29,2010-11-05,MALE,ADULT
1655,Full,SE-2010-1126161,NC,34.53114,Ð77.33061,2010-12-16,2010-11-27,MALE,ADULT
1691,Full,SE-2010-1124957,NC,34.681694,Ð76.713083,2010-11-10,2010-10-20,MALE,SUBADULT
1695,Full,NE-2010-1123905,VA,36.92927,Ð76.17262,2010-09-21,2010-08-17,UNKNOWN,UNKNOWN
1701,Full,SE-2010-1124034,SC,32.23099,Ð80.794154,2010-10-12,2010-09-17,FEMALE,SUBADULT
1705,Full,NE-2010-1123906,VA,37.10121,Ð75.97897,2010-10-02,2010-08-24,UNKNOWN,UNKNOWN
1712,Full,SE-2010-1124724,SC,32.55978,Ð80.16805,2010-11-01,2010-10-11,MALE,YEARLING
1716,Full,NE-2010-1124813,MD,38.256331,Ð75.12687,2010-09-27,2010-09-03,MALE,UNKNOWN
1722,Full,SE-2010-1124216,NC,34.84409,Ð76.34299,2010-10-20,2010-09-25,MALE,ADULT
1726,Full,NE-2010-1125116,VA,36.92735,Ð76.17162,2010-11-02,2010-10-09,MALE,UNKNOWN
1728,Full,NE-2010-1124132,NJ,39.677223,Ð74.151286,2010-09-17,2010-09-01,MALE,ADULT
1733,Full,NE-2010-1125180,DE,38.815,Ð75.198,2010-08-13,2010-07-16,MALE,PUP/CALF
1752,Full,SE-2010-1124556,NC,34.58523,Ð77.24403,2010-10-29,2010-10-11,FEMALE,PUP/CALF
1800,Full,SE-2010-1125473,NC,34.50208,Ð77.39795,2010-11-26,2010-11-09,MALE,ADULT
1809,Full,SE-2011-1128457,SC,32.68641,Ð80.00045,2011-02-27,2011-01-31,FEMALE,SUBADULT
