"","X","Patch","National.Database.Number","State","Latitude","Longitude","Observation.Date","Estimated_Infection_Date","Sex","Age.Class","Lat"
"1110",9689,"Full","SE-2013-1148977","NC",34.25354,"Ð77.757","2013-07-03","2013-06-05","UNKNOWN","ADULT",34
"1111",9690,"Full","SE-2013-1149176","NC",35.4764,"Ð75.48016","2013-07-18","2013-06-24","UNKNOWN","ADULT",35
"1112",9691,"Full","SE-2013-1149177","NC",35.30009,"Ð75.51122","2013-07-18","2013-06-12","MALE","ADULT",35
"1114",9705,"Full","SE-2013-1153077","SC",32.76063,"Ð79.82796","2013-11-10","2013-10-18","FEMALE","YEARLING",33
"1115",9706,"Full","SE-2013-1153098","SC",33.53638,"Ð79.02663","2013-11-11","2013-10-17","FEMALE","SUBADULT",34
"1116",9707,"Full","SE-2013-1153099","SC",32.79003,"Ð79.77504","2013-11-11","2013-10-12","MALE","ADULT",33
"1118",9709,"Full","SE-2013-1153112","SC",32.42655,"Ð80.46824","2013-11-13","2013-10-08","MALE","ADULT",32
"1119",9710,"Full","SE-2013-1153113","SC",32.12474,"Ð80.78526","2013-11-13","2013-10-12","MALE","SUBADULT",32
"1120",9711,"Full","SE-2013-1153114","SC",32.08592,"Ð80.869802","2013-11-14","2013-10-24","MALE","ADULT",32
"1121",9712,"Full","SE-2013-1153115","SC",32.64592,"Ð79.95895","2013-11-14","2013-10-18","MALE","ADULT",33
"1122",9716,"Full","NE-2013-1154749","MD",38.08328,"Ð75.202014","2013-09-09","2013-08-09","MALE","ADULT",38
"1123",9720,"Full","SE-2013-1148290","NC",34.81701,"Ð76.35612","2013-05-12","2013-04-10","MALE","SUBADULT",35
"1124",9721,"Full","SE-2013-1148291","NC",36.101181,"Ð75.711046","2013-05-14","2013-04-19","MALE","PUP/CALF",36
"1126",9725,"Full","NE-2013-1148343","VA",37.86942,"Ð75.35843","2013-04-19","2013-03-28","FEMALE","UNKNOWN",38
"1127",9728,"Full","NE-2013-1148346","VA",36.65642,"Ð75.9035","2013-04-23","2013-03-22","FEMALE","UNKNOWN",37
"1128",9737,"Full","NE-2013-1149511","VA",37.32265,"Ð76.27265","2013-07-31","2013-07-13","MALE","UNKNOWN",37
"1129",9738,"Full","NE-2013-1149512","VA",36.96446,"Ð76.2669","2013-08-01","2013-06-26","MALE","UNKNOWN",37
"1130",9745,"Full","NE-2013-1147682","MD",38.2653,"Ð75.1234","2013-03-27","2013-03-09","MALE","SUBADULT",38
"1131",9747,"Full","SE-2014-1155338","NC",35.08716,"Ð75.9825","2014-02-02","2014-01-05","MALE","ADULT",35
"1132",9748,"Full","NE-2014-1155339","MD",38.033467,"Ð75.238557","2014-01-28","2014-01-04","MALE","ADULT",38
"1133",9752,"Full","SE-2014-1155354","NC",34.834444,"Ð076.34Ð556","2014-02-02","2014-01-08","MALE","YEARLING",35
"1134",9756,"Full","SE-2014-1157137","NC",36.144858,"Ð75.734037","2014-05-22","2014-04-25","MALE","",36
"1136",9762,"Full","NE-2013-1149182","VA",36.94485,"Ð76.2342","2013-07-17","2013-06-22","FEMALE","ADULT",37
"1138",9764,"Full","NE-2013-1149184","VA",37.86697,"Ð75.37102","2013-05-28","2013-04-26","UNKNOWN","UNKNOWN",38
"1139",9771,"Full","NE-2013-1154750","MD",38.351792,"Ð75.073952","2013-09-09","2013-08-15","FEMALE","ADULT",38
"1140",9772,"Full","NE-2013-1154751","MD",38.325793,"Ð75.084715","2013-09-09","2013-08-09","UNKNOWN","UNKNOWN",38
"1141",9782,"Full","NE-2013-1148348","VA",36.60746,"Ð75.88172","2013-04-23","2013-04-01","MALE","UNKNOWN",37
"1142",9785,"Full","NE-2013-1148351","VA",37.115994,"Ð75.969761","2013-05-02","2013-04-11","MALE","UNKNOWN",37
"1143",9786,"Full","NE-2013-1148352","VA",36.67622,"Ð75.91434","2013-05-02","2013-03-30","FEMALE","UNKNOWN",37
"1144",9787,"Full","NE-2013-1148353","VA",36.93049,"Ð76.01363","2013-05-03","2013-04-06","MALE","UNKNOWN",37
"1145",9788,"Full","NE-2013-1148354","VA",37.04664,"Ð76.28701","2013-05-03","2013-03-31","MALE","UNKNOWN",37
"1146",9795,"Full","SE-2013-1154754","SC",33.41578,"Ð79.12885","2013-12-22","2013-11-27","FEMALE","SUBADULT",33
"1148",9821,"Full","NE-2013-1151729","NJ",39.300618,"Ð74.593982","2013-09-08","2013-08-18","FEMALE","",39
"1149",9832,"Full","NE-2013-1151345","VA",36.9339,"Ð76.20358","2013-09-22","2013-08-31","MALE","UNKNOWN",37
"1150",9847,"Full","NE-2013-1149560","MD",38.774471,"Ð76.397506","2013-07-21","2013-06-16","MALE","UNKNOWN",39
"1151",9848,"Full","NE-2013-1149563","MD",38.626311,"Ð76.285435","2013-07-22","2013-06-14","UNKNOWN","UNKNOWN",39
"1152",9861,"Full","NE-2014-1156768","VA",36.87326,"Ð75.9804","2014-04-27","2014-03-26","MALE","UNKNOWN",37
"1153",9865,"Full","SE-2013-1147954","NC",36.011044,"Ð76.562209","2013-04-15","2013-03-20","MALE","",36
"1154",9866,"Full","SE-2013-1147955","NC",35.44475,"Ð76.97048","2013-04-16","2013-03-25","MALE","SUBADULT",35
"1155",9868,"Full","SE-2013-1147957","NC",35.47792,"Ð75.48017","2013-04-18","2013-03-28","MALE","PUP/CALF",35
"1156",9870,"Full","SE-2014-1155393","NC",35.22094,"Ð75.65453","2014-02-05","2014-01-17","FEMALE","ADULT",35
"1161",9879,"Full","SE-2014-1155921","SC",32.802813,"Ð79.932308","2014-01-30","2013-12-27","MALE","YEARLING",33
"1162",9880,"Full","SE-2014-1155922","SC",32.470853,"Ð80.413221","2014-01-31","2014-01-04","FEMALE","YEARLING",32
"1163",9881,"Full","NE-2013-1150917","MD",38.43211,"Ð75.05206","2013-09-06","2013-07-31","UNKNOWN","ADULT",38
"1164",9887,"Full","SE-2013-1148696","NC",35.994367,"Ð75.643665","2013-06-15","2013-05-26","FEMALE","SUBADULT",36
"1165",9891,"Full","NE-2013-1151346","VA",36.93562,"Ð76.20972","2013-09-23","2013-08-26","UNKNOWN","UNKNOWN",37
"1167",9893,"Full","NE-2013-1151348","VA",36.92645,"Ð76.00332","2013-09-23","2013-08-25","FEMALE","UNKNOWN",37
"1168",9894,"Full","NE-2013-1151407","NJ",39.938913,"Ð74.07032","2013-08-16","2013-07-16","UNKNOWN","ADULT",40
"1169",9895,"Full","NE-2013-1151408","NJ",39.195532,"Ð74.653292","2013-08-17","2013-07-29","FEMALE","PUP/CALF",39
"1170",9896,"Full","NE-2013-1151409","NJ",39.751818,"Ð74.101101","2013-08-17","2013-07-25","FEMALE","SUBADULT",40
"1171",9897,"Full","NE-2013-1151410","NJ",39.546031,"Ð74.251228","2013-08-17","2013-07-24","UNKNOWN","ADULT",40
"1172",9898,"Full","NE-2013-1151411","NJ",40.050583,"Ð74.04632","2013-08-17","2013-07-16","MALE","ADULT",40
"1173",9910,"Full","NE-2013-1152798","DE",38.45763,"Ð75.049024","2013-10-30","2013-10-12","MALE","SUBADULT",38
"1174",9924,"Full","SE-2013-1147959","NC",34.63404,"Ð77.13609","2013-04-16","2013-03-28","MALE","YEARLING",35
"1175",9925,"Full","SE-2013-1147960","NC",34.79285,"Ð76.38097","2013-04-18","2013-03-24","FEMALE","PUP/CALF",35
"1176",9930,"Full","SE-2014-1155754","NC",33.913812,"Ð78.260327","2014-03-07","2014-02-18","FEMALE","",34
"1177",9933,"Full","SE-2014-1157049","SC",32.129168,"Ð80.876302","2014-04-26","2014-03-31","MALE","SUBADULT",32
"1178",9934,"Full","SE-2014-1157050","SC",32.540647,"Ð80.188572","2014-04-27","2014-03-26","MALE","ADULT",33
"1179",9950,"Full","SE-2013-1153039","NC",35.20121,"Ð75.71941","2013-11-25","2013-11-06","FEMALE","SUBADULT",35
"1181",9952,"Full","SE-2013-1153041","NC",35.09268,"Ð75.97421","2013-11-29","2013-11-07","FEMALE","PUP/CALF",35
"1182",9953,"Full","SE-2013-1153042","NC",36.24302,"Ð75.777992","2013-11-27","2013-11-07","FEMALE","YEARLING",36
"1183",9956,"Full","SE-2013-1153045","NC",36.504722,"Ð75.858316","2013-12-01","2013-10-30","UNKNOWN","UNKNOWN",37
"1184",9957,"Full","NE-2013-1153046","MD",38.335691,"Ð75.08191","2013-09-02","2013-08-05","MALE","ADULT",38
"1189",10032,"Full","SE-2014-1155945","SC",33.8452,"Ð78.58222","2014-02-03","2014-01-15","MALE","SUBADULT",34
"1190",10033,"Full","SE-2014-1155946","SC",32.363089,"Ð80.441915","2014-02-03","2014-01-09","MALE","PUP/CALF",32
"1191",10052,"Full","NE-2013-1155245","NY",40.583436,"Ð73.669869","2013-08-02","2013-07-04","MALE","ADULT",41
"1192",10055,"Full","NE-2013-1155248","NY",40.6119,"Ð73.4146","2013-08-05","2013-07-15","UNKNOWN","UNKNOWN",41
"1193",10056,"Full","NE-2013-1155249","NY",40.5776,"Ð73.834","2013-08-07","2013-07-03","MALE","UNKNOWN",41
"1194",10057,"Full","SE-2014-1155250","NC",34.62646,"Ð77.15771","2014-01-21","2014-01-01","MALE","SUBADULT",35
"1195",10058,"Full","SE-2014-1155251","NC",34.44869,"Ð77.50516","2014-01-31","2014-01-08","MALE","",34
"1196",10078,"Full","SE-2014-1156775","NC",34.71223,"Ð76.68118","2014-04-28","2014-03-23","UNKNOWN","ADULT",35
"1197",10082,"Full","NE-2013-1148363","VA",36.80746,"Ð75.96442","2013-05-09","2013-04-01","UNKNOWN","UNKNOWN",37
"1199",10085,"Full","NE-2013-1148367","VA",37.86519,"Ð76.24447","2013-05-14","2013-04-08","UNKNOWN","UNKNOWN",38
"1200",10086,"Full","SE-2013-1148381","SC",32.697227,"Ð79.898977","2013-05-16","2013-04-20","UNKNOWN","PUP/CALF",33
"1202",10117,"Full","SE-2014-1155950","SC",32.439305,"Ð80.473152","2014-02-15","2014-01-21","FEMALE","YEARLING",32
"1203",10118,"Full","SE-2014-1155951","SC",32.238422,"Ð80.678269","2014-02-15","2014-01-21","MALE","YEARLING",32
"1204",10119,"Full","SE-2014-1155952","SC",32.5237,"Ð80.36095","2014-02-20","2014-01-30","FEMALE","ADULT",33
"1205",10125,"Full","NE-2013-1150973","VA",36.920992,"Ð76.135356","2013-09-18","2013-08-14","UNKNOWN","UNKNOWN",37
"1207",10137,"Full","NE-2013-1151813","NJ",39.331968,"Ð74.487547","2013-07-28","2013-07-07","MALE","ADULT",39
"1208",10138,"Full","NE-2013-1151814","VA",36.71617,"Ð75.93159","2013-10-08","2013-09-20","MALE","UNKNOWN",37
"1209",10139,"Full","NE-2013-1151815","VA",36.929256,"Ð76.173075","2013-10-09","2013-09-12","UNKNOWN","UNKNOWN",37
"1210",10140,"Full","NE-2013-1151816","DE",38.790072,"Ð75.161387","2013-09-30","2013-08-25","MALE","SUBADULT",39
"1211",10141,"Full","NE-2013-1151817","DE",38.880335,"Ð75.269638","2013-09-28","2013-08-28","UNKNOWN","UNKNOWN",39
"1212",10142,"Full","NE-2013-1151838","DE",38.882581,"Ð75.272205","2013-09-23","2013-08-17","UNKNOWN","SUBADULT",39
"1213",10143,"Full","NE-2013-1155252","NY",40.7412,"Ð72.8361","2013-08-08","2013-07-11","FEMALE","ADULT",41
"1214",10144,"Full","NE-2013-1155253","NY",40.5834,"Ð73.704","2013-08-08","2013-07-10","MALE","ADULT",41
"1215",10145,"Full","NE-2013-1155254","NY",40.5859,"Ð73.7337","2013-08-09","2013-07-14","FEMALE","ADULT",41
"1216",10146,"Full","NE-2013-1155255","NY",40.6628,"Ð73.0715","2013-08-09","2013-07-20","MALE","UNKNOWN",41
"1217",10150,"Full","NE-2013-1155279","NY",40.7689,"Ð72.7381","2013-08-14","2013-07-13","FEMALE","ADULT",41
"1218",10152,"Full","NE-2013-1155281","NY",40.9235,"Ð72.2453","2013-08-21","2013-07-25","MALE","ADULT",41
"1219",10153,"Full","NE-2013-1155282","NY",40.5704,"Ð73.8545","2013-08-26","2013-07-30","MALE","ADULT",41
"1221",10172,"Full","SE-2014-1156812","NC",35.12679,"Ð75.91422","2014-04-29","2014-04-12","MALE","SUBADULT",35
"1222",10173,"Full","SE-2014-1156813","NC",35.36375,"Ð75.49644","2014-04-30","2014-04-06","MALE","SUBADULT",35
"1223",10199,"Full","NE-2013-1151406","NJ",39.316581,"Ð74.526529","2013-08-16","2013-07-28","FEMALE","ADULT",39
"1224",10216,"Full","NE-2013-1151839","DE",38.698958,"Ð75.072906","2013-09-30","2013-09-04","MALE","SUBADULT",39
"1225",10217,"Full","NE-2013-1151840","DE",38.788506,"Ð75.155215","2013-10-02","2013-09-11","MALE","SUBADULT",39
"1226",10218,"Full","NE-2013-1151841","DE",38.750803,"Ð75.081017","2013-09-21","2013-09-04","MALE","SUBADULT",39
"1227",10219,"Full","NE-2013-1151842","DE",38.913893,"Ð75.304348","2013-08-29","2013-07-27","MALE","ADULT",39
"1228",10220,"Full","NE-2013-1151843","DE",38.645477,"Ð75.065562","2013-08-25","2013-07-27","FEMALE","PUP/CALF",39
"1230",10223,"Full","NE-2013-1151846","DE",38.569374,"Ð75.057135","2013-08-25","2013-07-24","MALE","ADULT",39
"1231",10224,"Full","NE-2013-1151847","DE",38.702778,"Ð75.073889","2013-10-09","2013-09-07","MALE","SUBADULT",39
"1233",10244,"Full","NE-2013-1148642","MD",38.258838,"Ð76.179298","2013-05-21","2013-04-15","FEMALE","UNKNOWN",38
"1234",10263,"Full","NE-2013-1150745","VA",36.94491,"Ð76.23462","2013-09-09","2013-08-14","FEMALE","UNKNOWN",37
"1236",10267,"Full","NE-2014-1157072","NJ",39.020032,"Ð74.947073","2014-05-06","2014-04-10","UNKNOWN","PUP/CALF",39
"1237",10269,"Full","SE-2014-1157075","NC",35.0695,"Ð76.04973","2014-05-20","2014-04-18","MALE","ADULT",35
"1239",10285,"Full","NE-2014-1157441","VA",37.661241,"Ð76.33576","2014-05-22","2014-04-14","UNKNOWN","UNKNOWN",38
"1240",10286,"Full","NE-2014-1157442","VA",37.19227,"Ð75.81973","2014-05-13","2014-04-18","UNKNOWN","UNKNOWN",37
"1241",10287,"Full","NE-2014-1157443","VA",37.19254,"Ð75.81931","2014-05-25","2014-04-16","MALE","UNKNOWN",37
"1242",10288,"Full","NE-2014-1157444","VA",37.425683,"Ð75.982","2014-05-26","2014-05-05","FEMALE","UNKNOWN",37
"1243",10289,"Full","NE-2014-1157445","NY",40.5855,"Ð73.5767","2014-05-26","2014-05-04","FEMALE","ADULT",41
"1244",10292,"Full","NE-2013-1151412","NJ",39.636289,"Ð74.182295","2013-08-17","2013-07-14","UNKNOWN","ADULT",40
"1245",10293,"Full","NE-2013-1151413","NJ",39.943632,"Ð74.069074","2013-08-17","2013-07-30","MALE","SUBADULT",40
"1246",10310,"Full","SE-2013-1151572","GA",32.01992,"Ð80.94417","2013-08-16","2013-07-19","FEMALE","ADULT",32
"1248",10327,"Full","SE-2013-1148652","SC",33.301047,"Ð79.183376","2013-06-08","2013-05-09","UNKNOWN","PUP/CALF",33
"1249",10328,"Full","NE-2013-1148658","MD",38.397406,"Ð75.059928","2013-06-04","2013-05-14","FEMALE","PUP/CALF",38
"1250",10329,"Full","NE-2013-1148659","DE",39.179229,"Ð75.405478","2013-05-19","2013-04-14","MALE","PUP/CALF",39
"1251",10338,"Full","SE-2014-1156840","NC",34.98162,"Ð76.15105","2014-04-30","2014-04-03","MALE","ADULT",35
"1253",10351,"Full","NE-2014-1157084","NY",40.9662,"Ð72.1305","2014-05-17","2014-04-25","MALE","ADULT",41
"1254",10367,"Full","SE-2014-1156334","NC",34.69801,"Ð76.57775","2014-04-07","2014-03-16","FEMALE","",35
"1256",10389,"Full","NE-2013-1151574","NJ",39.61563,"Ð74.197858","2013-08-18","2013-07-14","UNKNOWN","PUP/CALF",40
"1257",10390,"Full","NE-2013-1151575","NJ",39.854814,"Ð74.084859","2013-08-18","2013-07-21","FEMALE","ADULT",40
"1258",10391,"Full","SE-2013-1151577","GA",31.47138,"Ð81.27393","2013-08-30","2013-07-28","UNKNOWN","PUP/CALF",31
"1259",10392,"Full","NE-2013-1151578","NJ",40.400612,"Ð73.975897","2013-08-18","2013-07-16","UNKNOWN","ADULT",40
"1260",10404,"Full","NE-2013-1148660","NJ",38.931241,"Ð74.957958","2013-05-24","2013-05-01","MALE","PUP/CALF",39
"1261",10405,"Full","NE-2013-1148681","NJ",39.040461,"Ð74.936339","2013-04-25","2013-03-29","MALE","ADULT",39
"1262",10406,"Full","NE-2013-1148682","NJ",39.18998,"Ð74.951636","2013-05-27","2013-05-06","MALE","PUP/CALF",39
"1263",10408,"Full","NE-2013-1148684","DE",38.858683,"Ð75.245399","2013-05-25","2013-04-28","MALE","SUBADULT",39
"1264",10411,"Full","NE-2013-1148687","DE",38.902614,"Ð75.292343","2013-06-06","2013-05-11","UNKNOWN","PUP/CALF",39
"1265",10412,"Full","NE-2013-1150096","NJ",39.292,"Ð74.407667","2013-08-02","2013-06-28","MALE","ADULT",39
"1266",10414,"Full","NE-2013-1150098","NJ",38.989115,"Ð74.959186","2013-08-02","2013-06-30","UNKNOWN","SUBADULT",39
"1267",10415,"Full","NE-2013-1150099","NJ",40.158529,"Ð74.019061","2013-07-29","2013-07-05","MALE","ADULT",40
"1268",10416,"Full","NE-2013-1150100","NJ",39.775388,"Ð74.113207","2013-07-28","2013-07-05","UNKNOWN","ADULT",40
"1269",10432,"Full","NE-2013-1152930","DE",38.609024,"Ð75.062821","2013-10-11","2013-09-10","UNKNOWN","ADULT",39
"1270",10433,"Full","NE-2013-1152931","DE",38.517079,"Ð75.052221","2013-08-17","2013-07-20","MALE","ADULT",39
"1271",10455,"Full","SE-2014-1156350","SC",33.53238,"Ð79.03097","2014-03-07","2014-02-09","MALE","SUBADULT",34
"1272",10456,"Full","SE-2014-1156351","SC",32.131108,"Ð80.771702","2014-03-17","2014-02-26","MALE","ADULT",32
"1273",10457,"Full","SE-2014-1156352","SC",32.20974,"Ð80.87494","2014-03-20","2014-02-23","FEMALE","SUBADULT",32
"1274",10475,"Full","NE-2013-1151580","NJ",40.139339,"Ð74.024951","2013-07-21","2013-07-06","MALE","ADULT",40
"1275",10476,"Full","NE-2013-1151582","NJ",39.942222,"Ð74.069696","2013-08-23","2013-08-06","MALE","SUBADULT",40
"1277",10478,"Full","NE-2013-1151585","VA",38.00528,"Ð75.26031","2013-09-20","2013-08-24","UNKNOWN","UNKNOWN",38
"1278",10480,"Full","SE-2013-1152157","NC",33.9081,"Ð78.31734","2013-11-03","2013-10-11","FEMALE","SUBADULT",34
"1279",10481,"Full","SE-2013-1152198","NC",35.60793,"Ð75.46529","2013-10-28","2013-10-06","MALE","YEARLING",36
"1280",10493,"Full","NE-2013-1148688","DE",38.900953,"Ð75.290304","2013-06-06","2013-05-04","UNKNOWN","YEARLING",39
"1281",10495,"Full","NE-2013-1148690","DE",38.606777,"Ð75.060267","2013-06-06","2013-04-30","UNKNOWN","YEARLING",39
"1282",10496,"Full","NE-2013-1148691","DE",38.663611,"Ð75.066944","2013-06-07","2013-05-12","MALE","PUP/CALF",39
"1283",10497,"Full","SE-2013-1148692","NC",36.034149,"Ð76.456379","2013-06-09","2013-05-11","MALE","ADULT",36
"1284",10501,"Full","NE-2013-1150101","VA",37.79892,"Ð76.30794","2013-08-17","2013-07-19","MALE","UNKNOWN",38
"1285",10502,"Full","NE-2013-1150102","MD",38.067443,"Ð75.213659","2013-08-21","2013-07-24","MALE","ADULT",38
"1287",10513,"Full","NE-2014-1156988","VA",37.2397,"Ð76.0168","2014-05-12","2014-04-21","MALE","UNKNOWN",37
"1288",10514,"Full","NE-2014-1156989","VA",37.89172,"Ð75.35681","2014-05-12","2014-04-17","MALE","UNKNOWN",38
"1289",10519,"Full","SE-2014-1157008","NC",35.83122,"Ð75.55653","2014-05-19","2014-04-21","MALE","ADULT",36
"1290",10520,"Full","SE-2013-1152940","GA",31.89074,"Ð80.95445","2013-11-18","2013-11-04","FEMALE","ADULT",32
"1291",10521,"Full","NE-2013-1152941","NJ",38.930619,"Ð74.912523","2013-10-27","2013-09-28","UNKNOWN","SUBADULT",39
"1292",10522,"Full","NE-2013-1152942","NJ",39.169683,"Ð74.678425","2013-10-31","2013-10-03","MALE","ADULT",39
"1293",10523,"Full","NE-2013-1152943","NJ",39.24321,"Ð74.615126","2013-11-06","2013-10-06","MALE","ADULT",39
"1294",10525,"Full","SE-2013-1152945","GA",31.06661,"Ð81.40369","2013-11-15","2013-10-21","FEMALE","YEARLING",31
"1295",10546,"Full","SE-2014-1156353","SC",32.380277,"Ð80.47833","2014-03-22","2014-03-01","UNKNOWN","",32
"1297",10549,"Full","SE-2014-1156356","NC",36.538029,"Ð75.865458","2014-04-07","2014-03-15","FEMALE","SUBADULT",37
"1302",10572,"Full","NE-2013-1151587","VA",36.94809,"Ð76.23971","2013-09-23","2013-08-30","MALE","UNKNOWN",37
"1303",10573,"Full","NE-2013-1151589","NJ",40.124098,"Ð74.030074","2013-08-24","2013-07-20","MALE","SUBADULT",40
"1304",10574,"Full","NE-2013-1151590","NJ",39.381912,"Ð74.391307","2013-08-24","2013-07-16","MALE","ADULT",39
"1305",10575,"Full","NE-2013-1151591","NJ",39.964804,"Ð74.066323","2013-08-24","2013-07-15","MALE","",40
"1310",10605,"Full","SE-2014-1157012","SC",32.419169,"Ð80.851641","2014-04-19","2014-03-25","MALE","SUBADULT",32
"1313",10663,"Full","SE-2014-1170113","GA",31.0493,"Ð81.40857","2014-12-17","2014-11-26","FEMALE","ADULT",31
"1314",10787,"Full","SE-2014-1169568","NC",36.504962,"Ð75.858771","2014-11-03","2014-10-09","FEMALE","ADULT",37
"1315",10788,"Full","SE-2014-1169569","NC",35.77121,"Ð75.52239","2014-11-12","2014-10-24","MALE","SUBADULT",36
"1316",10789,"Full","SE-2014-1169572","SC",32.38809,"Ð80.43028","2014-10-13","2014-09-21","MALE","PUP/CALF",32
"1317",10826,"Full","SE-2014-1159947","NC",35.22943,"Ð75.60382","2014-10-08","2014-09-20","MALE","SUBADULT",35
"1318",10827,"Full","SE-2014-1159948","NC",34.65039,"Ð76.54738","2014-10-05","2014-09-07","FEMALE","ADULT",35
"1319",10830,"Full","SE-2014-1168726","NC",36.18484,"Ð76.00948","2014-10-26","2014-09-21","UNKNOWN","SUBADULT",36
"1320",10834,"Full","SE-2014-1168744","NC",35.13335,"Ð75.90018","2014-10-29","2014-10-06","MALE","ADULT",35
"1321",10857,"Full","NE-2014-1170173","VA",36.71897,"Ð75.93235","2014-11-11","2014-10-23","MALE","ADULT",37
"1322",10859,"Full","SE-2014-1170209","GA",31.180282,"Ð81.345644","2014-12-20","2014-11-29","FEMALE","ADULT",31
"1324",10929,"Full","SE-2014-1169643","NC",35.09831,"Ð75.96654","2014-11-24","2014-11-06","MALE","YEARLING",35
"1325",10930,"Full","SE-2014-1169644","NC",36.470121,"Ð75.849723","2014-11-24","2014-11-04","MALE","YEARLING",36
"1326",10931,"Full","SE-2014-1169645","NC",33.920065,"Ð78.213316","2014-11-24","2014-10-31","MALE","",34
"1328",11096,"Full","SE-2015-1170309","GA",30.71874,"Ð81.44866","2015-01-09","2014-12-16","FEMALE","ADULT",31
"1329",11160,"Full","SE-2014-1169574","SC",32.83345,"Ð79.892178","2014-11-07","2014-10-11","UNKNOWN","ADULT",33
"1330",11161,"Full","SE-2014-1169575","SC",32.78892,"Ð79.8872","2014-11-11","2014-10-17","FEMALE","YEARLING",33
"1331",11162,"Full","SE-2014-1169576","SC",32.93424,"Ð79.57643","2014-11-11","2014-10-16","UNKNOWN","SUBADULT",33
"1332",11202,"Full","SE-2014-1170730","SC",33.692,"Ð78.878383","2014-11-23","2014-10-25","FEMALE","ADULT",34
"1333",11207,"Full","NE-2014-1168722","VA",36.914653,"Ð76.068971","2014-10-20","2014-10-05","UNKNOWN","UNKNOWN",37
"1334",11215,"Full","SE-2014-1170214","SC",32.363594,"Ð80.488746","2014-11-17","2014-10-26","FEMALE","SUBADULT",32
"1336",11220,"Full","SE-2014-1170225","SC",33.050349,"Ð79.370347","2014-12-11","2014-11-11","UNKNOWN","SUBADULT",33
"1337",11221,"Full","SE-2014-1170226","SC",32.332761,"Ð80.463347","2014-12-29","2014-12-02","UNKNOWN","SUBADULT",32
"1338",11223,"Full","SE-2014-1170228","SC",32.3186,"Ð80.4617","2014-11-20","2014-11-01","FEMALE","PUP/CALF",32
"1339",11224,"Full","SE-2015-1170229","SC",32.276389,"Ð80.601111","2015-01-01","2014-11-29","FEMALE","ADULT",32
"1340",11231,"Full","SE-2015-1170437","NC",35.12458,"Ð75.91941","2015-01-24","2014-12-28","FEMALE","PUP/CALF",35
"1341",11233,"Full","SE-2015-1170450","NC",35.23103,"Ð75.61288","2015-01-25","2014-12-26","MALE","SUBADULT",35
"1342",11250,"Full","NE-2014-1170129","NJ",40.281973,"Ð73.981989","2014-12-22","2014-12-02","MALE","ADULT",40
"1343",11290,"Full","SE-2015-1170253","GA",31.948104,"Ð80.905082","2015-01-02","2014-11-29","UNKNOWN","YEARLING",32
"1344",11295,"Full","SE-2015-1170454","GA",30.75629,"Ð81.45943","2015-01-24","2014-12-27","MALE","ADULT",31
"1345",11297,"Full","SE-2015-1170455","GA",31.15765,"Ð81.36474","2015-01-24","2015-01-06","FEMALE","ADULT",31
"1347",11318,"Full","NE-2014-1168821","VA",36.78018,"Ð75.95616","2014-11-01","2014-10-10","UNKNOWN","UNKNOWN",37
"1348",11319,"Full","NE-2014-1168822","VA",36.93202,"Ð76.19599","2014-11-01","2014-10-07","MALE","UNKNOWN",37
"1349",11409,"Full","SE-2014-1160020","NC",35.22151,"Ð75.52927","2014-10-16","2014-10-01","MALE","",35
"1350",11437,"Full","SE-2014-1159681","GA",31.16329,"Ð81.43459","2014-09-17","2014-08-28","FEMALE","ADULT",31
"1351",11482,"Full","SE-2014-1159751","NC",35.13691,"Ð75.89301","2014-09-28","2014-09-07","MALE","ADULT",35
"1352",11499,"Full","NE-2013-1159708","DE",38.734511,"Ð75.079204","2013-10-14","2013-09-14","UNKNOWN","UNKNOWN",39
"1353",11513,"Full","SE-2014-1159718","SC",32.21722,"Ð80.90027","2014-08-31","2014-08-07","FEMALE","SUBADULT",32
"1354",11514,"Full","SE-2014-1159719","SC",32.78483,"Ð79.785066","2014-09-01","2014-08-12","FEMALE","SUBADULT",33
"1355",11551,"Full","NE-2013-1159709","DE",38.78389,"Ð75.086617","2013-10-15","2013-09-15","UNKNOWN","UNKNOWN",39
"1356",11553,"Full","NE-2013-1159711","DE",38.702778,"Ð75.073889","2013-10-09","2013-09-03","UNKNOWN","UNKNOWN",39
"1357",11554,"Full","NE-2013-1159712","DE",39.102228,"Ð75.400978","2013-10-06","2013-08-31","UNKNOWN","UNKNOWN",39
"1358",11555,"Full","NE-2013-1159714","DE",38.64577,"Ð75.065562","2013-09-08","2013-08-01","UNKNOWN","SUBADULT",39
"1359",11556,"Full","NE-2013-1159715","DE",38.716959,"Ð75.07282","2013-09-03","2013-08-06","UNKNOWN","UNKNOWN",39
"1360",11636,"Full","NE-2014-1159758","NJ",39.885297,"Ð74.081167","2014-09-24","2014-08-22","UNKNOWN","ADULT",40
"1361",11675,"Full","SE-2014-1160009","SC",32.800204,"Ð79.975893","2014-09-15","2014-08-19","FEMALE","ADULT",33
"1362",11676,"Full","SE-2014-1160010","SC",32.79087,"Ð79.77309","2014-09-16","2014-08-22","FEMALE","SUBADULT",33
"1363",11678,"Full","SE-2014-1160012","SC",32.56657,"Ð80.15813","2014-09-29","2014-09-03","FEMALE","ADULT",33
"1364",12033,"Full","SE-2014-1201889","NC",36.152085,"Ð74.798486","2014-04-13","2014-03-29","UNKNOWN","UNKNOWN",36
