"","X","Patch","National.Database.Number","State","Latitude","Longitude","Observation.Date","Estimated_Infection_Date","Sex","Age.Class","Lat"
"679",8475,"Full","NE-2013-1152120","DE",38.834553,"Ð75.218014","2013-10-12","2013-09-09","FEMALE","SUBADULT",39
"680",8476,"Full","NE-2013-1152121","DE",38.827828,"Ð75.210815","2013-10-13","2013-09-23","MALE","ADULT",39
"681",8478,"Full","SE-2013-1152129","NC",35.49643,"Ð75.96311","2013-10-31","2013-10-07","FEMALE","SUBADULT",35
"683",8480,"Full","NE-2013-1150228","VA",36.743187,"Ð75.942227","2013-08-24","2013-07-26","UNKNOWN","",37
"684",8482,"Full","SE-2013-1153015","GA",31.67786,"Ð81.13696","2013-11-21","2013-10-24","MALE","ADULT",32
"685",8483,"Full","SE-2013-1153016","GA",31.04925,"Ð81.40892","2013-11-22","2013-10-27","FEMALE","SUBADULT",31
"686",8484,"Full","SE-2013-1153017","GA",30.8757,"Ð81.41697","2013-11-22","2013-11-02","FEMALE","ADULT",31
"687",8485,"Full","SE-2013-1153078","GA",30.8988,"Ð81.40638","2013-11-22","2013-10-30","MALE","SUBADULT",31
"689",8494,"Full","SE-2014-1158236","SC",32.590805,"Ð80.203598","2014-05-23","2014-04-30","UNKNOWN","PUP/CALF",33
"691",8496,"Full","SE-2014-1158238","GA",31.9898,"Ð81.10298","2014-04-30","2014-04-01","UNKNOWN","ADULT",32
"692",8497,"Full","SE-2014-1158239","GA",31.76239,"Ð81.08181","2014-05-11","2014-04-07","UNKNOWN","UNKNOWN",32
"693",8500,"Full","NE-2013-1151327","NJ",39.789957,"Ð74.093014","2013-08-25","2013-07-25","UNKNOWN","PUP/CALF",40
"694",8501,"Full","NE-2013-1151328","NJ",38.931437,"Ð74.964231","2013-08-26","2013-07-23","UNKNOWN","UNKNOWN",39
"695",8504,"Full","NE-2013-1151331","VA",37.50752,"Ð76.35595","2013-09-24","2013-08-27","MALE","UNKNOWN",38
"696",8505,"Full","NE-2013-1151332","VA",36.777191,"Ð75.954946","2013-09-24","2013-08-24","UNKNOWN","UNKNOWN",37
"698",8507,"Full","NE-2013-1151334","VA",36.83456,"Ð75.96905","2013-09-26","2013-09-07","MALE","UNKNOWN",37
"699",8509,"Full","NE-2013-1148778","VA",37.19581,"Ð75.81673","2013-05-21","2013-04-12","UNKNOWN","UNKNOWN",37
"700",8510,"Full","NE-2013-1148779","VA",37.427656,"Ð75.981313","2013-06-05","2013-05-09","UNKNOWN","",37
"702",8516,"Full","SE-2013-1152702","NC",35.05268,"Ð76.04405","2013-11-06","2013-10-17","MALE","SUBADULT",35
