,Patch,National Database Number,State,Latitude,Longitude,Observation Date,Estimated_Infection_Date,Sex,Age Class
8012,Full,SE-2013-1152687,NC,35.29955,Ð75.51489,2013-11-06,2013-10-03,MALE,ADULT
8013,Full,NE-2013-1151671,NJ,40.325837,Ð73.975204,2013-09-02,2013-08-08,MALE,PUP/CALF
8014,Full,NE-2013-1151672,NJ,39.099811,Ð74.754539,2013-09-07,2013-08-11,UNKNOWN,SUBADULT
8015,Full,NE-2013-1151673,NJ,39.325726,Ð74.499749,2013-09-07,2013-08-04,MALE,SUBADULT
8017,Full,NE-2013-1151679,VA,36.996783,Ð76.594167,2013-10-03,2013-09-13,MALE,UNKNOWN
8018,Full,NE-2013-1151825,NJ,40.432958,Ð73.98327,2013-08-19,2013-07-12,UNKNOWN,SUBADULT
8019,Full,SE-2013-1151834,NC,33.870477,Ð78.491566,2013-10-11,2013-09-25,FEMALE,
8021,Full,NE-2013-1152783,NJ,39.378788,Ð74.408872,2013-10-22,2013-09-28,FEMALE,SUBADULT
8022,Full,NE-2013-1152791,DE,38.610214,Ð75.069623,2013-11-08,2013-10-09,UNKNOWN,SUBADULT
8023,Full,NE-2013-1152792,DE,38.802929,Ð75.185087,2013-11-07,2013-10-04,UNKNOWN,ADULT
8024,Full,NE-2013-1152793,DE,38.609426,Ð75.062515,2013-09-04,2013-08-07,FEMALE,YEARLING
8033,Full,NE-2013-1149738,VA,36.91297,Ð76.07895,2013-08-14,2013-07-16,FEMALE,UNKNOWN
8034,Full,NE-2013-1149739,VA,37.18969,Ð76.00018,2013-08-14,2013-07-20,UNKNOWN,UNKNOWN
8035,Full,NE-2013-1149740,VA,37.87097,Ð75.35659,2013-08-09,2013-07-21,FEMALE,UNKNOWN
8037,Full,SE-2013-1153143,NC,34.96997,Ð76.58916,2013-12-07,2013-11-15,MALE,ADULT
8038,Full,SE-2013-1153144,NC,34.70839,Ð76.69429,2013-11-17,2013-10-28,MALE,
8041,Full,NE-2013-1150467,VA,36.769772,Ð75.952881,2013-08-24,2013-08-04,FEMALE,UNKNOWN
8042,Full,NE-2013-1150468,VA,36.92587,Ð76.15593,2013-08-26,2013-07-31,MALE,UNKNOWN
8043,Full,NE-2013-1150474,VA,36.74549,Ð75.94245,2013-08-26,2013-08-06,MALE,UNKNOWN
8044,Full,NE-2013-1150475,VA,36.91374,Ð76.11301,2013-08-26,2013-07-21,MALE,UNKNOWN
8045,Full,NE-2013-1149667,VA,36.8476,Ð75.9731,2013-07-31,2013-07-14,UNKNOWN,UNKNOWN
8046,Full,SE-2013-1149675,NC,36.15845,Ð76.22652,2013-08-10,2013-07-15,MALE,ADULT
8047,Full,NE-2013-1149699,VA,37.26678,Ð76.02333,2013-08-12,2013-07-20,FEMALE,UNKNOWN
8050,Full,NE-2013-1149702,VA,36.9151,Ð75.99138,2013-08-08,2013-07-04,UNKNOWN,UNKNOWN
8053,Full,SE-2014-1156839,NC,35.009506,Ð76.29707,2014-04-30,2014-03-26,MALE,SUBADULT
8065,Full,NE-2013-1149631,VA,37.46766,Ð75.95704,2013-08-04,2013-06-28,UNKNOWN,UNKNOWN
8069,Full,SE-2013-1149673,NC,35.23411,Ð75.57045,2013-08-12,2013-07-22,FEMALE,PUP/CALF
8070,Full,SE-2013-1149674,NC,35.17223,Ð75.80556,2013-08-12,2013-07-17,MALE,ADULT
8071,Full,NE-2013-1150476,VA,37.612734,Ð76.489603,2013-08-24,2013-07-25,FEMALE,UNKNOWN
8072,Full,NE-2013-1150477,VA,36.92913,Ð76.00912,2013-08-26,2013-07-24,FEMALE,UNKNOWN
8074,Full,NE-2013-1150480,VA,37.701154,Ð75.57641,2013-08-24,2013-07-20,MALE,UNKNOWN
8075,Full,NE-2013-1150481,VA,36.921467,Ð76.127633,2013-08-25,2013-07-28,MALE,UNKNOWN
8083,Full,SE-2013-1149780,NC,35.30626,Ð75.51036,2013-08-15,2013-07-31,UNKNOWN,ADULT
8084,Full,SE-2013-1149781,NC,36.475228,Ð75.850883,2013-08-15,2013-07-17,MALE,ADULT
8085,Full,SE-2013-1149783,NC,36.234097,Ð75.774113,2013-08-16,2013-07-23,FEMALE,ADULT
8086,Full,SE-2013-1150722,SC,33.32866,Ð79.19198,2013-08-31,2013-08-01,UNKNOWN,ADULT
8088,Full,SE-2013-1150724,SC,32.781749,Ð79.81618,2013-08-27,2013-08-06,UNKNOWN,SUBADULT
8094,Full,SE-2013-1149976,NC,35.27579,Ð75.51701,2013-08-17,2013-07-20,FEMALE,ADULT
8095,Full,NE-2013-1149980,VA,36.81877,Ð75.96692,2013-08-18,2013-07-21,UNKNOWN,UNKNOWN
8096,Full,NE-2013-1149981,VA,36.660322,Ð75.904845,2013-08-18,2013-07-29,FEMALE,UNKNOWN
8097,Full,NE-2013-1149982,VA,37.05324,Ð76.28457,2013-08-21,2013-07-21,MALE,UNKNOWN
8098,Full,NE-2013-1149984,VA,37.79672,Ð76.30953,2013-08-18,2013-07-25,MALE,UNKNOWN
8099,Full,NE-2013-1149985,VA,36.951813,Ð76.245449,2013-08-18,2013-07-12,UNKNOWN,UNKNOWN
8100,Full,NE-2013-1150482,VA,36.62478,Ð75.88823,2013-08-26,2013-07-27,UNKNOWN,UNKNOWN
8101,Full,SE-2013-1152706,NC,33.85838,Ð78.5274,2013-11-09,2013-10-09,MALE,ADULT
